name    	dragon_fireball_ex
type    	projectile
speed   	10
remove  	0
alpha   	1

onspawnscript	data/chars/dragon/scripts/dragon_fireball_event_spawn.c
thinkscript		data/chars/dragon/scripts/dragon_fireball_event_think.c
animationscript data/chars/dragon/scripts/dragon_fireball_event_animation.c

anim idle
	    
	loop	1
	offset	90 62
	delay	3
	
	attack.damage.force 18
	attack.damage.type burn
	attack.effect.hit.flash.model bor_steam
	attack.position.x 74
	attack.position.y 46
	attack.reaction.fall.force 5
	attack.reaction.reposition.direction -1
	attack.size.x 28
	attack.size.y 29
	
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_0.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_1.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_2.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_3.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_4.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_5.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_6.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_7.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_8.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_9.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_10.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_11.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_12.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_13.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_14.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/idle_15.png
	
anim attack1
	    
	offset	90 62
	delay	5
	
	attack.damage.force 18
	attack.damage.type burn
	attack.effect.hit.flash.model bor_steam
	attack.position.x 74
	attack.position.y 46
	attack.reaction.fall.force 5
	attack.size.x 28
	attack.size.y 29
	attack.reaction.reposition.direction 1
	
	@cmd dc_fidelity_quick_play "explode"

	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_0.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_1.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_2.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_3.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_4.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_5.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_6.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_7.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_8.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_9.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_10.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_11.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_12.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_13.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_14.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_15.png

anim attack2
	    
	offset	90 62
	delay	5
	
	attack.damage.force 18
	attack.damage.type burn
	attack.effect.hit.flash.model bor_steam
	attack.position.x 74
	attack.position.y 46
	attack.reaction.fall.force 5
	attack.size.x 28
	attack.size.y 29
	
	@cmd dc_fidelity_quick_play "explode"

	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_0.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_1.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_2.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_3.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_4.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_5.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_6.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_7.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_8.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_9.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_10.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_11.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_12.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_13.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_14.png
	frame	data/chars/misc/cvs_akuma_blazing_hadouken/explode_15.png

