#icon				data/chars/tyris/icon_default_0.png 1
#iconpain			data/chars/tyris/icon_pain_0.png 1
name				Tyris_Flare
health				98
speed				9
mp      			91
jumpheight  		4
grabdistance 		24
throwframewait 		1
throwdamage 		8
running 			20 5 1 1 0
type				player
gfxshadow 			1

grabfinish 			1
noquake 			1
risetime 			60
makeinv 			2
jumpmove 			7 1
noatflash 			0
height				55

projectilehit 		player npc obstacle
dust				fall_land jump_land jump_liftoff
bflash 				flash_block
holdblock 			0
thold 				34

load				t_chick
load				t_bdrag
load				t_rdrag
weapons 			t_chick t_rdrag t_bdrag

modelflag 			1

icon				data/chars/tyris/hud/0000

combostyle 			1
atchain 			1 2 6 0 4 4 5 0 3 0

palette      			data/chars/tyris/0000				#0	Red/Silver
alternatepal   			data/chars/tyris/pals/0001			#1 	Blue/Silver

animationscript 	data/chars/tyris/scripts/ani.c
didhitscript 		data/scripts/dc_common_didhit/event_didhit.c
keyscript			data/chars/tyris/scripts/key.c		#Controlling player press/release key.
onblockoscript		data/scripts/dc_common_onblock/event_onblocko.c
onblocksscript		data/scripts/dc_common_onblock/event_onblocks.c
onblockwscript		data/scripts/dc_common_onblock/event_onblockw.c
onblockzscript		data/scripts/dc_common_onblock/event_onblockz.c
ondeathscript		data/scripts/dc_common_ondeath/event_ondeath.c
onfallscript		data/scripts/dc_common_onfall/event_onfall_player.c	
onmoveascript		data/scripts/dc_common_onmovea/event_onmovea.c
onmovexscript		data/scripts/z_movex.c				#Moving on X axis.
onmovezscript		data/scripts/z_movez.c				#Moving on Z axis.
onpainscript		data/scripts/dc_common_onpain/event_onpain.c	
onspawnscript		data/scripts/z_spawn.c				#Spawned to playfied.

takedamagescript	data/scripts/dc_common_takedamage/event_takedamage.c	
thinkscript			data/scripts/z_think.c				#Entity AI updates.

com b b a 			freespecial
com f f a 			freespecial
com f d f a			freespecial3
com a3 				freespecial8


anim	attack1
	range	0 32
	followanim	3
	delay	4
	offset	60 98
	bbox	48 44 22 54
	@cmd	soun0005 ENT_SELF SND_WIFFL -1 1 0 0
	frame	data/chars/tyris/0018.png
	frame	data/chars/tyris/0019.png
	frame	data/chars/tyris/0020.png
	delay	6
	attack10	56 42 36 26 2
	@cmd	bind0003 "tyri0001" "blur" -1 1 0 0 1 1 7
	frame	data/chars/tyris/0021.png
	attack10	66 55 20 21 2
	delay	2
	frame	data/chars/tyris/0022.png
	attack	0
	frame	data/chars/tyris/0022.png
	frame	data/chars/tyris/0022.png
	frame	data/chars/tyris/0026.png
	frame	data/chars/tyris/0026.png
	frame	data/chars/tyris/0026.png
	delay	2
	frame	data/chars/tyris/0027.png
	delay	4
	frame	data/chars/tyris/0027.png
	delay	10
	frame	data/chars/tyris/0021.png
	frame	data/chars/tyris/0019.png
	delay	20
	idle	1
	frame	data/chars/tyris/0018.png

anim	attack2
	range	0 44
	loop	0
	delay	10
	offset	60 98
	bbox	50 42 26 56
	frame	data/chars/tyris/0028.png
	delay	8
	@cmd	bind0003 "tyri0001" "blur" -1 1 0 0 1 1 7
	frame	data/chars/tyris/0029.png
	attack4	59 30 46 40 2 0 0 0 0 0
	frame	data/chars/tyris/0030.png
	attack4	0 0 0 0 0
	delay	2
	frame	data/chars/tyris/0019.png
	frame	data/chars/tyris/0019.png
	frame	data/chars/tyris/0019.png
	frame	data/chars/tyris/0019.png
	frame	data/chars/tyris/0019.png
	frame	data/chars/tyris/0019.png
	frame	data/chars/tyris/0019.png
	frame	data/chars/tyris/0019.png
	frame	data/chars/tyris/0019.png
	frame	data/chars/tyris/0019.png
	frame	data/chars/tyris/0019.png
	delay	8
	frame	data/chars/tyris/0018.png

anim	attack3
	hitflash	flash_stab_knockdown
	range	40 60
	offset	60 98
	delay	6
	frame	data/chars/tyris/0031.png
	delay	5
	bbox	46 51 28 47
	attack9	61 65 48 8 6 5
	frame	data/chars/tyris/0032.png
	attack9	61 65 52 8 6 5
	forcedirection	-1
	frame	data/chars/tyris/0033.png
	Attack1	0
	frame	data/chars/tyris/0034.png
	delay	20
	frame	data/chars/tyris/0035.png
	offset	60 98
	delay	6
	frame	data/chars/tyris/0031.png

anim	attack4
	hitflash	flash_hit_head_knock
	range	21 30
	loop	0
	offset	60 98
	bbox	47 44 23 54
	delay	12
	@cmd	ani0012 openborconstant("ANI_ATTACK5") openborconstant("ANI_ATTACK3")
	frame	data/chars/tyris/0046.png
	delay	10
	frame	data/chars/tyris/0047.png
	attack2	69 54 12 16 4 0 1
	dropv	0 0 0
	frame	data/chars/tyris/0048.png
	attack2	0 0 0 0 0
	frame	data/chars/tyris/0047.png
	delay	100
	idle	1
	frame	data/chars/tyris/0046.png

anim	attack5
	range	21 30
	offset	60 98
	bbox.position.x 53
	bbox.position.y 38
	bbox.size.x 22
	bbox.size.y 58
	delay	8
	attack.damage.force 0
	attack.effect.hit.flash.model flash_hit_knockdown
	attack.position.x 0
	attack.position.y 0
	attack.size.x 0
	attack.size.y 0
	frame	data/chars/tyris/0075.png
	frame	data/chars/tyris/0006.png
	move	0
	frame	data/chars/tyris/0007.png
	bbox.position.x 65
	bbox.position.y 38
	bbox.size.x 20
	bbox.size.y 61
	offset	60 98
	frame	data/chars/tyris/0008.png
	attack.block.penetrate 0
	attack.damage.force 5
	attack.damage.type 10
	attack.effect.hit.flash.disable 0
	attack.position.x 72
	attack.position.y 52
	attack.reaction.fall.force 1
	attack.reaction.pause.time 0
	attack.size.x 38
	attack.size.y 21
	attack.size.z.1 15
	delay	8
	move	-7
	bbox.position.x 49
	bbox.position.y 49
	bbox.size.x 44
	bbox.size.y 48
	frame	data/chars/tyris/0009.png
	move	0
	frame	data/chars/tyris/0010.png
	Attack1	0
	bbox.position.x 60
	bbox.position.y 40
	bbox.size.x 32
	bbox.size.y 56
	frame	data/chars/tyris/0011.png
	offset	60 98
	move	2
	frame	data/chars/tyris/0084.png
	bbox.position.x 64
	bbox.position.y 41
	bbox.size.x 17
	bbox.size.y 57
	move	0
	frame	data/chars/tyris/0083.png
	bbox.position.x 47
	bbox.position.y 51
	bbox.size.x 29
	bbox.size.y 48
	offset	60 98
	frame	data/chars/tyris/0082.png

anim	attack6
	range	-5 25
	delay	10
	offset	60 98
	@cmd	bind0014 1 0
	@cmd	bind0010 FLAG_MODE_0 ENT_SELF 0 20 166 -1 DIR_ADJ_OPP openborconstant("ANI_FOLLOW10") G_HELD 0
	frame	data/chars/tyris/0060.png
	delay	15
	@cmd	bind0010 FLAG_MODE_0 ENT_SELF 0 15 167 -1 DIR_ADJ_OPP openborconstant("ANI_FOLLOW10") G_HELDMP 0
	frame	data/chars/tyris/0130.png
	@cmd	bind0010 FLAG_MODE_0 ENT_SELF 0 14 171 2 DIR_ADJ_OPP openborconstant("ANI_FOLLOW10") G_HELDMP 0
	frame	data/chars/tyris/0131.png
	delay	8
	@cmd	bind0023 0 "hith" "flash_hit_knockdown" 0 1 3 10 1 0 0 0 1
	@cmd	bind0010 FLAG_MODE_0 ENT_SELF 0 10 185 2 DIR_ADJ_SAME openborconstant("ANI_FOLLOW10") G_HORDN 0
	frame	data/chars/tyris/0132.png
	@cmd	bind0010 FLAG_MODE_0 ENT_SELF 0 -15 30 1 DIR_ADJ_SAME openborconstant("ANI_FOLLOW10") G_RELEASE 0
	@cmd	dama0004 0 -2 0 0 openborconstant("ATK_NORMAL5") -1 1 0 0
	frame	data/chars/tyris/0133.png
	frame	data/chars/tyris/0134.png
	frame	data/chars/tyris/0135.png
	delay	30
	frame	data/chars/tyris/0136.png
	delay	10
	frame	data/chars/tyris/0131.png
	move	-5
	frame	data/chars/tyris/0082.png
	move	0
	frame	data/chars/tyris/0001.png

anim	attackbackward
	hitflash	flash_cut_vertical_knockdown
	flipframe	21
	range	-60 1
	offset	60 98
	delay	10
	move	-11
	bbox	49 41 20 57
	@cmd	soun0005 ENT_SELF SND_WIFFH -1 1 0 0
	frame	data/chars/tyris/0036.png
	move	0
	bbox	49 40 12 58
	@cmd	bind0003 "tyri0001" "blur" -1 1 0 0 1 1 7
	frame	data/chars/tyris/0037.png
	bbox	36 42 14 56
	frame	data/chars/tyris/0038.png
	bbox	32 46 15 53
	frame	data/chars/tyris/0039.png
	frame	data/chars/tyris/0040.png
	bbox	36 44 17 54
	delay	2
	@cmd	soun0005 ENT_SELF VOI_ATKH -1 1 0 0
	attack10	0 40 41 24 10 1
	frame	data/chars/tyris/0041.png
	frame	data/chars/tyris/0041.png
	Attack1	0
	frame	data/chars/tyris/0041.png
	frame	data/chars/tyris/0042.png
	frame	data/chars/tyris/0042.png
	frame	data/chars/tyris/0042.png
	frame	data/chars/tyris/0043.png
	frame	data/chars/tyris/0043.png
	frame	data/chars/tyris/0043.png
	delay	2
	frame	data/chars/tyris/0044.png
	frame	data/chars/tyris/0044.png
	frame	data/chars/tyris/0044.png
	frame	data/chars/tyris/0044.png
	frame	data/chars/tyris/0044.png
	frame	data/chars/tyris/0044.png
	delay	12
	bbox	47 43 16 55
	frame	data/chars/tyris/0045.png
	move	5
	frame	data/chars/tyris/0002.png

anim	attackboth
	range	-60 110
	flipframe	14
	loop	0
	jumpframe	6 2.6 -1 0 jump_liftoff
	landframe	20	jump_land
	hitflash	flash_hit_knockdown
	offset	60 98
	delay	6
	bbox	63 41 10 56
	frame	data/chars/tyris/0006.png
	@cmd	soun0005 ENT_SELF SND_WIFFH -1 1 0 0
	frame	data/chars/tyris/0007.png
	move	18
	offset	60 95
	bbox	45 51 16 19
	delay	4
	frame	data/chars/tyris/0143.png
	move	0
	bbox	47 51 13 23
	@cmd	soun0005 ENT_SELF VOI_ATKH -1 1 0 0
	frame	data/chars/tyris/0144.png
	bbox	48 53 12 39
	attack1	57 54 34 32 4 2
	frame	data/chars/tyris/0145.png
	frame	data/chars/tyris/0146.png
	attack1	53 28 35 32 4 2
	frame	data/chars/tyris/0147.png
	attack1	0
	delay	8
	frame	data/chars/tyris/0148.png
	bbox	52 52 18 20
	frame	data/chars/tyris/0149.png
	frame	data/chars/tyris/0150.png
	bbox	52 36 12 40
	delay	4
	attack1	25 28 31 37 4 2
	frame	data/chars/tyris/0151.png
	frame	data/chars/tyris/0152.png
	attack1	25 56 50 35 4 2
	frame	data/chars/tyris/0153.png
	frame	data/chars/tyris/0154.png
	offset	60 98
	delay	5
	attack	0
	frame	data/chars/tyris/0067
	frame	data/chars/tyris/0068
